/usr/local/bin/fastp -i 49937_1#119_1.fastq.gz -I 49937_1#119_2.fastq.gz -o trimmed/49937_1#119_1_tr.fastq.gz -O trimmed/49937_1#119_2_tr.fastq.gz -j trimmed/49937_1#119.json -h trimmed/49937_1#119.html 	1706614	1694718
/usr/local/bin/fastp -i 49937_1#11_1.fastq.gz -I 49937_1#11_2.fastq.gz -o trimmed/49937_1#11_1_tr.fastq.gz -O trimmed/49937_1#11_2_tr.fastq.gz -j trimmed/49937_1#11.json -h trimmed/49937_1#11.html 	3050808	3022744
/usr/local/bin/fastp -i 49937_1#120_1.fastq.gz -I 49937_1#120_2.fastq.gz -o trimmed/49937_1#120_1_tr.fastq.gz -O trimmed/49937_1#120_2_tr.fastq.gz -j trimmed/49937_1#120.json -h trimmed/49937_1#120.html 	2773192	2748442
/usr/local/bin/fastp -i 49937_1#121_1.fastq.gz -I 49937_1#121_2.fastq.gz -o trimmed/49937_1#121_1_tr.fastq.gz -O trimmed/49937_1#121_2_tr.fastq.gz -j trimmed/49937_1#121.json -h trimmed/49937_1#121.html 	2739694	2706276
/usr/local/bin/fastp -i 49937_1#122_1.fastq.gz -I 49937_1#122_2.fastq.gz -o trimmed/49937_1#122_1_tr.fastq.gz -O trimmed/49937_1#122_2_tr.fastq.gz -j trimmed/49937_1#122.json -h trimmed/49937_1#122.html 	2534376	2515132
/usr/local/bin/fastp -i 49937_1#123_1.fastq.gz -I 49937_1#123_2.fastq.gz -o trimmed/49937_1#123_1_tr.fastq.gz -O trimmed/49937_1#123_2_tr.fastq.gz -j trimmed/49937_1#123.json -h trimmed/49937_1#123.html 	1706216	1688534
/usr/local/bin/fastp -i 49937_1#124_1.fastq.gz -I 49937_1#124_2.fastq.gz -o trimmed/49937_1#124_1_tr.fastq.gz -O trimmed/49937_1#124_2_tr.fastq.gz -j trimmed/49937_1#124.json -h trimmed/49937_1#124.html 	1850716	1835024
/usr/local/bin/fastp -i 49937_1#125_1.fastq.gz -I 49937_1#125_2.fastq.gz -o trimmed/49937_1#125_1_tr.fastq.gz -O trimmed/49937_1#125_2_tr.fastq.gz -j trimmed/49937_1#125.json -h trimmed/49937_1#125.html 	1853126	1836880
/usr/local/bin/fastp -i 49937_1#126_1.fastq.gz -I 49937_1#126_2.fastq.gz -o trimmed/49937_1#126_1_tr.fastq.gz -O trimmed/49937_1#126_2_tr.fastq.gz -j trimmed/49937_1#126.json -h trimmed/49937_1#126.html 	1642394	1631278
/usr/local/bin/fastp -i 49937_1#127_1.fastq.gz -I 49937_1#127_2.fastq.gz -o trimmed/49937_1#127_1_tr.fastq.gz -O trimmed/49937_1#127_2_tr.fastq.gz -j trimmed/49937_1#127.json -h trimmed/49937_1#127.html 	1828236	1809812
/usr/local/bin/fastp -i 49937_1#128_1.fastq.gz -I 49937_1#128_2.fastq.gz -o trimmed/49937_1#128_1_tr.fastq.gz -O trimmed/49937_1#128_2_tr.fastq.gz -j trimmed/49937_1#128.json -h trimmed/49937_1#128.html 	2362470	2346144
/usr/local/bin/fastp -i 49937_1#129_1.fastq.gz -I 49937_1#129_2.fastq.gz -o trimmed/49937_1#129_1_tr.fastq.gz -O trimmed/49937_1#129_2_tr.fastq.gz -j trimmed/49937_1#129.json -h trimmed/49937_1#129.html 	2210726	2194256
/usr/local/bin/fastp -i 49937_1#12_1.fastq.gz -I 49937_1#12_2.fastq.gz -o trimmed/49937_1#12_1_tr.fastq.gz -O trimmed/49937_1#12_2_tr.fastq.gz -j trimmed/49937_1#12.json -h trimmed/49937_1#12.html 	3372398	3337002
/usr/local/bin/fastp -i 49937_1#130_1.fastq.gz -I 49937_1#130_2.fastq.gz -o trimmed/49937_1#130_1_tr.fastq.gz -O trimmed/49937_1#130_2_tr.fastq.gz -j trimmed/49937_1#130.json -h trimmed/49937_1#130.html 	2749892	2721004
/usr/local/bin/fastp -i 49937_1#131_1.fastq.gz -I 49937_1#131_2.fastq.gz -o trimmed/49937_1#131_1_tr.fastq.gz -O trimmed/49937_1#131_2_tr.fastq.gz -j trimmed/49937_1#131.json -h trimmed/49937_1#131.html 	2890434	2871626
/usr/local/bin/fastp -i 49937_1#132_1.fastq.gz -I 49937_1#132_2.fastq.gz -o trimmed/49937_1#132_1_tr.fastq.gz -O trimmed/49937_1#132_2_tr.fastq.gz -j trimmed/49937_1#132.json -h trimmed/49937_1#132.html 	1485450	1419048
/usr/local/bin/fastp -i 49937_1#133_1.fastq.gz -I 49937_1#133_2.fastq.gz -o trimmed/49937_1#133_1_tr.fastq.gz -O trimmed/49937_1#133_2_tr.fastq.gz -j trimmed/49937_1#133.json -h trimmed/49937_1#133.html 	1094752	1086930
/usr/local/bin/fastp -i 49937_1#134_1.fastq.gz -I 49937_1#134_2.fastq.gz -o trimmed/49937_1#134_1_tr.fastq.gz -O trimmed/49937_1#134_2_tr.fastq.gz -j trimmed/49937_1#134.json -h trimmed/49937_1#134.html 	2655626	2631278
