49937_1#259.assembly	100.0	0.36	Neural Network (Specific Model)	11	0.88	398990	314.647542551157	5596466	0.57	5229	None
49989_2#278.assembly	100.0	0.15	Neural Network (Specific Model)	11	0.88	113190	309.33078479874075	4683278	0.51	4447	None
49989_2#83.assembly	100.0	0.28	Neural Network (Specific Model)	11	0.873	104104	301.6302101888137	5805847	0.57	5614	None
49989_2#53.assembly	100.0	0.35	Neural Network (Specific Model)	11	0.881	118604	298.2471952842746	5333965	0.51	5259	None
49990_2#66.assembly	100.0	1.31	Neural Network (Specific Model)	11	0.878	287398	311.4260070966395	5090349	0.5	4791	None
49989_1#238.assembly	100.0	0.66	Neural Network (Specific Model)	11	0.882	557229	310.73760200878843	5041246	0.51	4779	None
49990_2#44.assembly	100.0	0.71	Neural Network (Specific Model)	11	0.882	415282	310.38608515057115	5077260	0.51	4815	None
49937_1#95.assembly	100.0	0.07	Neural Network (Specific Model)	11	0.877	336508	310.6830122591944	5452338	0.57	5139	None
49989_2#343.assembly	100.0	0.82	Neural Network (Specific Model)	11	0.882	294893	310.7998309025576	4993183	0.51	4731	None
49990_2#196.assembly	100.0	0.61	Neural Network (Specific Model)	11	0.883	246032	308.1531308121513	5057423	0.51	4839	None
49989_2#21.assembly	100.0	0.86	Neural Network (Specific Model)	11	0.882	304564	303.5788328387735	5211075	0.5	5055	None
49989_1#37.assembly	100.0	0.63	Neural Network (Specific Model)	11	0.876	183790	307.0992116900596	5459696	0.57	5201	None
49989_1#316.assembly	100.0	0.93	Neural Network (Specific Model)	11	0.882	228057	308.21837228041903	5194397	0.5	4964	None
49937_1#263.assembly	100.0	0.2	Neural Network (Specific Model)	11	0.878	313695	310.99852968204374	5769454	0.57	5441	None
49989_1#262.assembly	100.0	0.91	Neural Network (Specific Model)	11	0.88	331863	309.88086342880865	5080472	0.5	4818	None
49989_2#81.assembly	100.0	0.06	Neural Network (Specific Model)	11	0.882	152029	313.6269215608987	5403086	0.57	5074	None
49937_1#28.assembly	100.0	0.37	Neural Network (Specific Model)	11	0.879	170917	307.1560310547245	5525214	0.57	5281	None
49989_2#139.assembly	100.0	0.38	Neural Network (Specific Model)	11	0.881	215880	303.5339649264261	5121879	0.51	4961	None
49989_2#287.assembly	100.0	1.57	Neural Network (Specific Model)	11	0.882	190808	306.8741935483871	5165669	0.51	4960	None
49989_2#335.assembly	100.0	1.27	Neural Network (Specific Model)	11	0.881	215959	308.31486403598444	5125936	0.51	4891	None
49990_2#284.assembly	100.0	0.14	Neural Network (Specific Model)	11	0.884	230341	309.0247575820095	5074424	0.51	4847	None
49990_1#182.assembly	100.0	0.14	Neural Network (Specific Model)	11	0.881	168382	306.83880113406235	5150809	0.51	4938	None
49989_2#288.assembly	99.82	19.86	Neural Network (Specific Model)	11	0.883	5810	232.1873232799246	6678938	0.5	8488	None
49990_2#42.assembly	100.0	1.1	Neural Network (Specific Model)	11	0.882	206044	308.9472624798712	5211502	0.51	4968	None
49989_1#248.assembly	100.0	0.12	Neural Network (Specific Model)	11	0.885	165317	310.2519053349378	5238202	0.5	4986	None
49937_1#65.assembly	100.0	0.97	Neural Network (Specific Model)	11	0.878	307756	308.7480730223124	5193046	0.5	4930	None
49990_1#283.assembly	100.0	0.18	Neural Network (Specific Model)	11	0.883	307140	314.2692455735181	5541479	0.57	5196	None
49989_1#318.assembly	100.0	0.69	Neural Network (Specific Model)	11	0.882	358124	310.59520833333335	5064547	0.51	4800	None
