studyid,runid,laneid,plexid
7835,49989,2,88
7835,49937,1,33
7835,49989,2,235
7835,49947,1,84
7835,49990,2,233
7835,49937,1,122
7835,49989,2,232
7835,49989,1,339
7835,49937,1,319
7835,49989,1,116
7835,49937,1,278
7835,49990,2,288
7835,49989,1,248
7835,49947,1,278
7835,49990,2,292
7835,49989,1,221
7835,49937,1,261
7835,49989,1,50
7835,49937,1,260
7835,49989,1,178
7835,49989,1,30
7835,49990,1,374
7835,49990,2,268
7835,49937,1,326
7835,49989,2,272
7835,49937,1,293
7835,49989,2,68
7835,49937,1,116
7835,49990,2,97
7835,49937,1,83
7835,49989,1,65
7835,49937,1,312
7835,49937,1,5
7835,49990,2,245
7835,49947,1,91
7835,49937,1,8
7835,49989,1,219
7835,49989,1,188
7835,49990,2,17
7835,49989,2,338
7835,49947,1,18
7835,49989,2,41
7835,49937,1,121
7835,49990,1,188
7835,49990,2,87
7835,49989,1,99
7835,49989,1,2
7835,49989,1,152
7835,49937,1,364
7835,49937,1,27
7835,49990,2,159
7835,49990,1,318
7835,49989,2,271
7835,49990,1,245
7835,49989,2,375
7835,49989,1,281
7835,49989,1,22
7835,49947,1,160
7835,49989,2,341
7835,49989,2,119
7835,49937,1,31
7835,49989,1,286
7835,49947,1,28
7835,49989,2,21
7835,49989,1,252
7835,49937,1,153
7835,49989,2,116
7835,49989,2,101
7835,49937,1,238
7835,49989,2,108
7835,49990,2,1
7835,49989,1,153
7835,49990,1,249
7835,49937,1,52
7835,49989,1,242
7835,49989,2,206
7835,49990,1,122
7835,49990,2,262
7835,49989,1,18
7835,49989,1,82
7835,49989,1,327
7835,49989,1,90
7835,49990,2,241
7835,49989,2,246
7835,49989,1,247
7835,49989,2,184
7835,49947,1,338
7835,49989,2,8
7835,49989,2,65
7835,49947,1,213
7835,49990,2,65
7835,49937,1,220
7835,49937,1,277
7835,49937,1,237
7835,49937,1,25
7835,49989,1,384
7835,49989,2,103
7835,49989,1,277
7835,49989,2,175
7835,49989,2,155
7835,49989,1,283
7835,49989,1,1
7835,49989,1,106
7835,49947,1,188
7835,49990,2,129
7835,49989,1,83
7835,49937,1,165
7835,49947,1,339
7835,49990,2,73
7835,49937,1,37
7835,49989,1,225
7835,49989,1,198
7835,49989,1,213
7835,49989,1,64
7835,49947,1,248
7835,49947,1,319
7835,49989,1,310
7835,49947,1,309
7835,49989,1,46
7835,49989,2,194
7835,49989,1,52
7835,49947,1,149
7835,49990,2,25
7835,49989,1,147
7835,49990,1,145
7835,49937,1,382
7835,49989,1,131
7835,49989,1,122
7835,49990,1,84
7835,49937,1,271
7835,49989,2,342
7835,49989,1,38
7835,49937,1,73
7835,49990,1,91
7835,49990,1,147
7835,49937,1,334
7835,49990,2,172
7835,49989,2,225
7835,49990,2,213
7835,49990,2,131
7835,49990,2,305
7835,49989,2,328
7835,49990,1,277
7835,49947,1,89
7835,49937,1,44
7835,49937,1,181
7835,49990,1,305
7835,49990,2,142
7835,49937,1,307
